研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
风电行业2026年度策略：打破周期走向成长，板块迎来价值重塑,国金证券,2026-01-08 00:00:00.000,风电设备,29,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vsm1MuxwuKdLBMcRAkEl8exz2b6y7Y7MUsS0LUyUvGk=,https://pdf.dfcfw.com/pdf/H3_AP202601081816851889_1.pdf
风电行业周报,国新证券股份,2026-01-08 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vsm1MuxwuKdLBMcRAkEl8WXH8jaVZzEwiQqQs5oZ/Pc=,https://pdf.dfcfw.com/pdf/H3_AP202601081816854315_1.pdf
近期风电招中标情况更新,国新证券股份,2026-01-08 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vsm1MuxwuKdLBMcRAkEl8f7h+7CpU7iEVFhja35SMME=,https://pdf.dfcfw.com/pdf/H3_AP202601081816854321_1.pdf
近期风电招中标情况更新,国新证券股份,2025-12-31 00:00:00.000,风电设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=0UMGqDnZbBqL2Ad6MHdmD31tG+6hR8wiZkSVKbAF0hY=,https://pdf.dfcfw.com/pdf/H3_AP202512311811984882_1.pdf
风电行业周报,国新证券股份,2025-12-31 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=0UMGqDnZbBqL2Ad6MHdmDwTXaIvERlVGt5rWxwWEa0Q=,https://pdf.dfcfw.com/pdf/H3_AP202512311811984405_1.pdf
硅基负极专题报告：CVD技术突破，硅碳负极渐成主流,东莞证券,2025-12-31 00:00:00.000,风电设备,17,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=0UMGqDnZbBqL2Ad6MHdmD3/Xu9DdNw+SJ6pHSa0vmH0=,https://pdf.dfcfw.com/pdf/H3_AP202512311812031960_1.pdf
电力设备与新能源行业点评：欧洲开启电网建设周期，看好电力设备出口机会,信达证券,2025-12-21 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=SEAYpqX0aQR/cH+ISuzDB6Eo3tHfev9a4QLRn+Aa52I=,https://pdf.dfcfw.com/pdf/H3_AP202512211805017998_1.pdf
近期风电招中标情况更新,国新证券股份,2025-12-19 00:00:00.000,风电设备,4,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zorQnGnwZF4MD2eyEoD+tj/LJrThfXxZMcwrZb5OKdE=,https://pdf.dfcfw.com/pdf/H3_AP202512191803848324_1.pdf
风电行业周报,国新证券股份,2025-12-19 00:00:00.000,风电设备,10,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=zorQnGnwZF4MD2eyEoD+ttAXlfF8rfE5lJDcnKlbKcE=,https://pdf.dfcfw.com/pdf/H3_AP202512191803843429_1.pdf
风电行业2026年度投资策略：国内外有望迎来景气共振，需求与格局变化催生新机遇,国信证券,2025-12-18 00:00:00.000,风电设备,36,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=i7PkX0DkjsucpjczEBFGaXmoUQ3SVSiU/moTX2R/Cmw=,https://pdf.dfcfw.com/pdf/H3_AP202512181803248275_1.pdf
