研报名称,机构名称,发布时间,行业,网页链接,PDF直链
非银行金融行业点评报告：头部险企负债端持续改善，NBV高增显示行业景气修复,太平洋,2026-05-19 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo5x3d49avfHUwrJo07rv1C0=,https://pdf.dfcfw.com/pdf/H3_AP202605191822428349_1.pdf
非银行业周报（2026年第十六期）：市场活跃度持续提升，券商估值修复可期,中航证券,2026-05-18 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq+ZVGa+U6nyW62hUmA2VLHE=,https://pdf.dfcfw.com/pdf/H3_AP202605181822391406_1.pdf
REITs行业周报：中证REITs指数同比下跌，商业不动产REITs询价,开源证券,2026-05-18 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq1yozivJvsdSFTdIrpxNilE=,https://pdf.dfcfw.com/pdf/H3_AP202605181822388618_1.pdf
河北金融行业AI应用现状调查报告,河北省金融市场协会,2026-05-18 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XgmbWxKOL5RjfL09nBjxd/U4IWMXJxezx1Sx31wLnFI=,https://pdf.dfcfw.com/pdf/H3_AP202605171822382671_1.pdf
非银金融行业点评报告：衍生品新规发布，多维度加强监管，券商集中度或进一步提升,东吴证券,2026-05-17 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=uQZanFa6Jry1Q2xwq/tytUw6wjSHkkIQJj0lLBq7XE0=,https://pdf.dfcfw.com/pdf/H3_AP202605161822378109_1.pdf
非银金融：首批公募基准调整情况和对非银行业的潜在影响-权益权重提升、宽基指数升级、海外和多资产纳入,华源证券,2026-05-17 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=uQZanFa6Jry1Q2xwq/tytQ1KlXpdLARjTUeOAug1DFw=,https://pdf.dfcfw.com/pdf/H3_AP202605161822377562_1.pdf
企业薪酬社保公积金数字化管理升级之道,上海智享会商务服务,2026-05-14 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57VUY1nO7cWEMJ0VwOMUUkv8=,https://pdf.dfcfw.com/pdf/H3_AP202605141822320159_1.pdf
金融科技行业专题研究报告：非银金融行业：数字人民币政策提速，产业有望迎来向上拐点,金融街证券,2026-05-12 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GPSJLonj954z+DJXDFz/Hnw=,https://pdf.dfcfw.com/pdf/H3_AP202605121822224264_1.pdf
非银行金融行业研究：市场交投活跃，板块盈利与资产端预期同步修复,国金证券,2026-05-10 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh7BViS2TXmvoDYHkXpOmM4M=,https://pdf.dfcfw.com/pdf/H3_AP202605101822127399_1.pdf
2026年农村金融机构行业分析,联合资信评估,2026-05-05 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc03tlHgVeIrs/NuVbXpXxnc=,https://pdf.dfcfw.com/pdf/H3_AP202605051821967809_1.pdf
从“存量包袱”到“有效供给”：保障性租赁住房存量资产盘活路径研究,大公国际资信评估,2026-04-30 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=z+BQzM0NJ1Yh8OoBVL6DMjLYiD4EC3lQCSFuGbIi5qg=,https://pdf.dfcfw.com/pdf/H3_AP202604301821797264_1.pdf
非银行业周报（2026年第十四期）：券商并购重组持续深化，行业集中度提升,中航证券,2026-04-27 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6DY8gQUl5rPnjCRHF5VUIWo=,https://pdf.dfcfw.com/pdf/H3_AP202604271821603014_1.pdf
26Q1公募基金对非银金融板块持仓点评：主动偏股基金对A股非银行业持仓占比环比-1.0pct，多元金融板块获加仓,华源证券,2026-04-27 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6Faj2llzqIc7+bbVNPVMJL8=,https://pdf.dfcfw.com/pdf/H3_AP202604271821598180_1.pdf
非银金融行业周报：人身险预定利率研究值环比+4bp，多家券商和期货上市公司26Q1季报盈利大增,华源证券,2026-04-26 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HOMdg2q4xafXz13pJxyBRK4mu0B08Z+gxxfgNkaRDqM=,https://pdf.dfcfw.com/pdf/H3_AP202604261821594183_1.pdf
2026年一季度金融行业监管政策与处罚分析,安永(中国)企业咨询,2026-04-24 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u0i1cZTNUMOPcM3SjCQs4AVuHavH7L2RN5QbzaU+aOI=,https://pdf.dfcfw.com/pdf/H3_AP202604241821525820_1.pdf
非银金融行业周报：中国平安再次增持中国人寿H，中金公司26Q1业绩表现优异,华源证券,2026-04-19 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=QVk5BeptH2ssWz00IL1T65XLZbLFU7Hw7n6xH8CpIY4=,https://pdf.dfcfw.com/pdf/H3_AP202604191821320407_1.pdf
金融网络安全运营数智化建设研究与实践,北京金融科技产业联盟,2026-04-16 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yf320Ezqkk1hPscoJhu0umeKitHcjPTjW0P1ibnWJmk=,https://pdf.dfcfw.com/pdf/H3_AP202604151821247444_1.pdf
非银行业周报（26年第十二期）：券商一季度盈利向好，有望迎来估值修复,中航证券,2026-04-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v4d7f/Jae+ILlyB+pm2fdsA=,https://pdf.dfcfw.com/pdf/H3_AP202604131821148557_1.pdf
非银金融行业资本市场聚焦（十五）：增设第四套上市标准，创业板投融资改革协同发力赋能新质生产力,东海证券,2026-04-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v9L52QoVc7Un+jO0wUpP9IU=,https://pdf.dfcfw.com/pdf/H3_AP202604131821146981_1.pdf
解锁明天：一本探讨金融服务行业代理人工智能力量的操作手册,,2026-04-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lEJ4tvrLL4iYJKcaLiC2v1403OTdFzOgmuYC3MpiuEs=,https://pdf.dfcfw.com/pdf/H3_AP202604131821161880_1.pdf
非银行业周报（2026年第十一期）：自营与经纪双轮驱动，盈利修复显著超预期,中航证券,2026-04-06 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Bj/9+eySjmeu+o4DN7DygjOAay8rGO/rNxFhgxB8+Ak=,https://pdf.dfcfw.com/pdf/H3_AP202604061821031873_1.pdf
2025年度担保行业要事盘点,联合资信评估,2026-03-31 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=yox7xzf0O9dtTdxl8tZuT68w2T5dBv9eyEKZ/Jfj2VQ=,https://pdf.dfcfw.com/pdf/H3_AP202603311820917738_1.pdf
金融行业双周报：政策驱动结构优化，银行保险配置价值凸显,东莞证券,2026-03-27 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+HQpsq0qvXZbuOEG3JMI5vHNKCWEEnmRrVntESEcaNE=,https://pdf.dfcfw.com/pdf/H3_AP202603271820794502_1.pdf
金融业：全覆盖监管、兜底式责任与市场化处置——《中华人民共和国金融法（草案）》浅析,大公国际资信评估,2026-03-26 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo4EaRh3vHEvF6sqazoL5+f4=,https://pdf.dfcfw.com/pdf/H3_AP202605191822443076_1.pdf
数据炼金术——从单点突破到全局协同的AI财务进化路径 头豹词条报告系列,头豹研究院,2026-03-24 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=epGsNL70B4dqK/p0j+9PfhKxYyqgR73PveNHv92oZIQ=,https://pdf.dfcfw.com/pdf/H3_AP202603241820726895_1.pdf
非银金融行业周报：部分上市公司披露25年年报，蚂蚁集团要约收购耀才证券金融已通过审批,华源证券,2026-03-22 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sCCCruEGNuZ6Q3m7hzViQqcdHOmywtJwtLj7Eb/VBzI=,https://pdf.dfcfw.com/pdf/H3_AP202603221820686915_1.pdf
金融业《私募投资基金信息披露实施细则（征求意见稿）》（2026版）解析：革新信息披露体系、护航投资者权益,大公国际资信评估,2026-03-20 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u3Nt816Iq8ZLMy7d0TYNP5KhSlk7gJbJFMPYzTaqDsw=,https://pdf.dfcfw.com/pdf/H3_AP202603201820664374_1.pdf
NIFD季报：房地产金融,国家金融与发展实验室,2026-03-19 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=HYCqBDbQ2Zu7VuZ1sjPwk0vidJ4DYqMyeYiF7ppoNgs=,https://pdf.dfcfw.com/pdf/H3_AP202603191820634875_1.pdf
互联网金融行业复盘&当前投资框架：从财富神话到新星启示录,东吴证券,2026-03-18 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=wgy5GfHBY5ZK7yGs2a3VyU/YjEOn9zOGT0P6F71cGjQ=,https://pdf.dfcfw.com/pdf/H3_AP202603171820605831_1.pdf
2025年度中国金融科技投诉数据与典型案例报告,网经社电子商务研究中心,2026-03-18 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=s7nmvLweMqllj8ucx4/dSR1c1zQ7+mrYq+trUn25Zrc=,https://pdf.dfcfw.com/pdf/H3_AP202603181820611126_1.pdf
非银金融行业点评报告：百强机构集中度小幅下滑，券商仍保持ETF优势——公募基金代销保有规模点评,东吴证券,2026-03-16 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ivGavoqmU0N6YSeJK0gsmmJSttHQqTlWYXmy4uY1vIk=,https://pdf.dfcfw.com/pdf/H3_AP202603161820584917_1.pdf
中国融资租赁行业展望,中诚信国际,2026-03-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=D2GXqoCoz3tMVb8T97L3avZ/5x0A+uWWmI9R2OoQoi4=,https://pdf.dfcfw.com/pdf/H3_AP202603131820544885_1.pdf
金融服务业领导网络2026年3月：推进AI部署 蓄力创新浪潮,安永(中国)企业咨询,2026-03-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=duOKd2B+lgzBov5ATCbG/3RFE3MEO2Bz1NjNdwAlNlc=,https://pdf.dfcfw.com/pdf/H3_AP202603121820527439_1.pdf
2026年两会《政府工作报告》金融解读：降费畅传导、创新提质效,大公国际资信评估,2026-03-12 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=duOKd2B+lgzBov5ATCbG/2CuMAwRjmJ8FgyXpod/U/g=,https://pdf.dfcfw.com/pdf/H3_AP202603121820510302_1.pdf
券商2026年策略：政策红利+资金共振，关注券商2026年估值修复的确定性机会,中航证券,2026-03-10 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=G5q0J7vI7MapkjMb9ILLSQyeLfEDRGQSwF0wD/xc9Dg=,https://pdf.dfcfw.com/pdf/H3_AP202603101820442491_1.pdf
非银行业周报（2026年第七期）：资本市场投融资改革持续深化，关注券商并购重组主线,中航证券,2026-03-09 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sayaAh9m4uyVUYWKMmQSM1R07e2oBLTX3RI8zfdMgrE=,https://pdf.dfcfw.com/pdf/H3_AP202603091820404198_1.pdf
零碳产城融合项目发展白皮书,荣续ESG智库研究中心,2026-03-04 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cu8BCf0ftWWii/wCWbhyPsHzQDGD0G5Mh99NIvHhNNg=,https://pdf.dfcfw.com/pdf/H3_AP202603031820234742_1.pdf
财会行业ESG白皮书,荣续ESG智库研究中心,2026-03-04 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cu8BCf0ftWWii/wCWbhyPmczfMPXEC+CmYpCYxJPXV0=,https://pdf.dfcfw.com/pdf/H3_AP202603031820234694_1.pdf
气候金融ESG白皮书（实务篇）,荣续ESG智库研究中心,2026-03-04 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cu8BCf0ftWWii/wCWbhyPnxjBJiMV9PryJrXvINu9hE=,https://pdf.dfcfw.com/pdf/H3_AP202603031820234637_1.pdf
金融行业双周报：社融增速企稳回升，居民短贷改善显著,东莞证券,2026-02-27 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=xdx/v9guJG5gqLJuC2xNfQqbbFs01gNEZjjqXEUgKCM=,https://pdf.dfcfw.com/pdf/H3_AP202602271820101797_1.pdf
2025年城投行业“十大”热词盘点,中诚信国际,2026-02-24 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7MkoqOEIgNg/XOqZyrzqNnW0VAakjfUsltjTGk9tYcY=,https://pdf.dfcfw.com/pdf/H3_AP202602241819990439_1.pdf
非银金融行业周报（2026年第六期）：关注券商并购重组主线，行业迎来估值业绩双修复,中航证券,2026-02-24 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7MkoqOEIgNg/XOqZyrzqNqRa4O61NTrq/oUzAe0K7n4=,https://pdf.dfcfw.com/pdf/H3_AP202602241819990819_1.pdf
融资担保行业2026年信用风险展望：从信用中介向战略支点“双轨制”下的职能深化与信用筑基,大公国际资信评估,2026-02-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo3iKd7X1gYs3sStvJLBwedk=,https://pdf.dfcfw.com/pdf/H3_AP202605191822443084_1.pdf
金融智能体：从大模型到智能体，AI如何重构金融服务生态？,头豹研究院,2026-02-13 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=7eBtQRVnu7p1NFqJQkPuX4LSssvTVIkeMYk5H6Srvs8=,https://pdf.dfcfw.com/pdf/H3_AP202602131819924935_1.pdf
非银行业周报（2026年第五期）：2026中小券商聚焦差异化发展，行业分化新格局,中航证券,2026-02-09 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+b5ofXBBZ3x7mdIOZrFsa/qaEsKNO8eFutNaB9PDBuI=,https://pdf.dfcfw.com/pdf/H3_AP202602091819828793_1.pdf
证监会2026年1号文点评：RWA的严监管时代,国信证券,2026-02-08 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=laLmyrxo1oSiGrVFb48kwAhUBxq9Mt2UK9BwryWmego=,https://pdf.dfcfw.com/pdf/H3_AP202602081819824353_1.pdf
金融行业双周报：2025年保险保费收入突破六万亿元,东莞证券,2026-02-08 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=laLmyrxo1oSiGrVFb48kwOA1BGdhgFeQYCFE0xjoaYg=,https://pdf.dfcfw.com/pdf/H3_AP202602081819824278_1.pdf
非银金融行业机构行为更新专题：理解“平准基金”的三个视角,国信证券,2026-02-06 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=xqcChq2sXK/UvLR0XunWJcs0jCLs8HnsHH5RwDMpxeI=,https://pdf.dfcfw.com/pdf/H3_AP202602061819803184_1.pdf
中国担保行业，2026年2月,中诚信国际,2026-02-05 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XXPWChN6h48UCUdJZSuk2Y82zaYRhvMokUckLFloeA8=,https://pdf.dfcfw.com/pdf/H3_AP202602051819786474_1.pdf
金融业数据应用发展报告（2024—2025年）,北京金融科技产业联盟,2026-02-03 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=MoItIV57d4Rmy5ErXQjeHH4S0JieJuk4+pMItQU83pI=,https://pdf.dfcfw.com/pdf/H3_AP202602031819645515_1.pdf
非银行金融行业研究：拟扩大战略投资者类型，中长期资金入市再迎政策支持,国金证券,2026-02-02 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=YE65Nzv4hDtw2Ic9QSC9I+AFZybhtA4idhzk0MG2QgU=,https://pdf.dfcfw.com/pdf/H3_AP202602021819361185_1.pdf
地方AMC行业2026年1月,中诚信国际,2026-01-30 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Vbzdc53JbV6/GPJE8j/CmrlUHnLCjew86/29A7qMTIs=,https://pdf.dfcfw.com/pdf/H3_AP202601301818572720_1.pdf
非银行业周报（26年第三期）：2025券商业绩预增，迎来估值业绩双修复,中航证券,2026-01-26 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=uCuz1KEXcKJMpBWuIAES1pVt9gd0tNJepYWAn/QsGlE=,https://pdf.dfcfw.com/pdf/H3_AP202601261818417503_1.pdf
寻找中国保险的Alpha系列之四：从保单到数据：新能源车险的价值跃迁,国信证券,2026-01-22 00:00:00.000,多元金融,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=woonG2wfySX9EQpnBXXmxuhWCnkyD+5S21LriNvLLzA=,https://pdf.dfcfw.com/pdf/H3_AP202601221818285000_1.pdf
