研报名称,机构名称,发布时间,行业,页数,网页链接,PDF直链
人形机器人周报：特斯拉部分工厂改造为人形机器人产线，乐聚IPO获受理,国元证券,2026-05-26 00:00:00.000,专用设备,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ezwMyDfKd2WUFgzUwL6wAcBurdP+MSPSI5bD5JJ64CM=,https://pdf.dfcfw.com/pdf/H3_AP202605261822869460_1.pdf
机器人行业研究：特斯拉S/X工厂正式转为机器人专线，云深处科创板IPO受理,国金证券,2026-05-24 00:00:00.000,专用设备,16,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=190xdmTYsHjMb0DC+/627JxOMgHVAXesCmG79+8g/Gs=,https://pdf.dfcfw.com/pdf/H3_AP202605241822840425_1.pdf
高端装备制造产业研究周报：Figure直播分拣包裹，宇树发布变形机甲机器人,国金证券,2026-05-22 00:00:00.000,专用设备,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GH0mz9OFfdD8HJyjS8PWdJEFf3wlHZAA6O+O3xjsMj4=,https://pdf.dfcfw.com/pdf/H3_AP202605221822689251_1.pdf
人形机器人：量产突破期的产业分化与国有资本投资逻辑,大公国际资信评估,2026-05-20 00:00:00.000,专用设备,7,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ghB/U6yU9Yq8Vt9aUyx3xAMQ20HU0j+3I5D18HtLjQc=,https://pdf.dfcfw.com/pdf/H3_AP202605201822502256_1.pdf
人形机器人周报：中国首个人形世界模型发布，Figure机器人直播连续工作,国元证券,2026-05-19 00:00:00.000,专用设备,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo4hThFgv0lARDF6SPdDp9g0=,https://pdf.dfcfw.com/pdf/H3_AP202605191822450854_1.pdf
机床行业研究：周期向上加速，国产替代方兴未艾，板块配置机会凸显,国金证券,2026-05-19 00:00:00.000,专用设备,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=fS81ufKxtfKLbNGXxwnqo3Q8qb47zipC2zeBB4UdAc0=,https://pdf.dfcfw.com/pdf/H3_AP202605191822443743_1.pdf
机械行业2026年中期策略：AI重塑新周期，制造再启新篇章,中航证券,2026-05-18 00:00:00.000,专用设备,36,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq856E47gLJ6eDYjAsDfwUgc=,https://pdf.dfcfw.com/pdf/H3_AP202605181822392188_1.pdf
机器人行业研究：Figure直播分拣包裹，宇树发布变形机甲机器人,国金证券,2026-05-18 00:00:00.000,专用设备,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=tI3AI4wMjmLQAmSmXTMCq8BjggNMacwMKmbwe5CAVH8=,https://pdf.dfcfw.com/pdf/H3_AP202605181822388795_1.pdf
机械设备行业快评报告：4月挖掘机与装载机销量均实现较快增长,万联证券,2026-05-14 00:00:00.000,专用设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=LBIS7bPRbuARj1Q2LOK57dlhF7dNjTlAm2JlclbHs5o=,https://pdf.dfcfw.com/pdf/H3_AP202605141822307374_1.pdf
PCB设备2025年报&2026年一季报总结：业绩兑现元年，关注技术通胀带来的非线性增长,东吴证券,2026-05-13 00:00:00.000,专用设备,36,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KKx/o0h8GXci4gNIaf+w9PUzZPXT8W5o5CpcAlYd28M=,https://pdf.dfcfw.com/pdf/H3_AP202605131822253922_1.pdf
中国电子皮肤行业概览：机器人的触觉革命,头豹研究院,2026-05-13 00:00:00.000,专用设备,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=KKx/o0h8GXci4gNIaf+w9BSU4pzxAwSyB7Glf5IQotY=,https://pdf.dfcfw.com/pdf/H3_AP202605131822278809_1.pdf
人形机器人产业周报：产业进入量产博弈阶段，26Q1我国智能仿生机器人出口4141台,华源证券,2026-05-12 00:00:00.000,专用设备,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=EZKzOIyOfPXOY/mOkPf0GHBlWeK+oRivB5vVb6WjeCs=,https://pdf.dfcfw.com/pdf/H3_AP202605121822205324_1.pdf
机器人行业研究：特斯拉S/X工厂转作机器人生产，Figure双机器人协作铺床,国金证券,2026-05-10 00:00:00.000,专用设备,15,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=XAM9YcCVxAJdkwQFrA2Jh40jfTGUmDjz9vthUJZFzEk=,https://pdf.dfcfw.com/pdf/H3_AP202605101822127391_1.pdf
2026年智能机器人行业深度分析报告,深圳市中投顾问,2026-05-07 00:00:00.000,专用设备,43,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Wq+NxWAWJ26bvphenTnhbAHrRc2QwOzMZzyHQfVlIIE=,https://pdf.dfcfw.com/pdf/H3_AP202605071822028328_1.pdf
"冷锻工艺：精度C3+高效低成本,人形机器人丝杠的理想工艺",国金证券,2026-05-06 00:00:00.000,专用设备,26,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vK83LYxZyxfJFYh4NqvDQFCGutTL6tEjcCJdmzElqQY=,https://pdf.dfcfw.com/pdf/H3_AP202605061821986498_1.pdf
机器人板块25年＆26Q1财报总结：产业仍在突飞猛进，等待市场拐点到来,国金证券,2026-05-05 00:00:00.000,专用设备,48,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=L1lRXMabK5Ss4XKsaKCfc/SqOtuAtxVHsL7DNAM+eGM=,https://pdf.dfcfw.com/pdf/H3_AP202605051821967955_1.pdf
2026年机械设备年度策略：算力投资方兴未艾，人形机器人、固态电池产业加速,山西证券,2026-04-30 00:00:00.000,专用设备,31,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=z+BQzM0NJ1Yh8OoBVL6DMmQoL1qosqwMuphOsH4yuSE=,https://pdf.dfcfw.com/pdf/H3_AP202604301821821378_1.pdf
全球机器人技术路线图2025-2035,加州大学圣地亚哥分校,2026-04-28 00:00:00.000,专用设备,54,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=en3lKDpHApx5MExDYCEDERRgF1lUX9UFePst48ozjdg=,https://pdf.dfcfw.com/pdf/H3_AP202604281821703836_1.pdf
人形机器人周报：国家电网计划采购具身智能设备，特斯拉第三代人形机器人预计年中投产,国元证券,2026-04-28 00:00:00.000,专用设备,8,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=en3lKDpHApx5MExDYCEDEeYH5hViqAQxFwdfQ1XLdfI=,https://pdf.dfcfw.com/pdf/H3_AP202604281821658715_1.pdf
装备制造行业周报（4月第4周）：氦气价格涨幅扩大,世纪证券,2026-04-27 00:00:00.000,专用设备,9,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6BK5bfDqUxB5btqQmCXrqag=,https://pdf.dfcfw.com/pdf/H3_AP202604271821646607_1.pdf
人形机器人行业双周报：四足机器人商业化已至，荣耀机器人半马夺冠,华金证券,2026-04-27 00:00:00.000,专用设备,19,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6LgazVBiyB50gBhSwwNbz3Q=,https://pdf.dfcfw.com/pdf/H3_AP202604271821600628_1.pdf
机器人行业周报：特斯拉下半年开启量产，自变量家庭机器人入户在即,国金证券,2026-04-27 00:00:00.000,专用设备,13,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=I0G8zgsN1iSKizHA2BNZ6DRT5epgy+k/IUsKCgIrZrc=,https://pdf.dfcfw.com/pdf/H3_AP202604271821596312_1.pdf
高端制造：人形机器人发展是一场马拉松,建银国际证券,2026-04-24 00:00:00.000,专用设备,3,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=u0i1cZTNUMOPcM3SjCQs4BJ5rEwVUxUJagzrtXm9J9c=,https://pdf.dfcfw.com/pdf/H3_AP202604241821529084_1.pdf
